text,label
nyalon pas gubernur benar ngerubah nelayan nkczf tabrakprof,0
sikap cermin komitmen transparansi korban penting nasional kali sejahtera hebat ganjarpresidenrakyat kratonbersamarakyat,0
tampil kontras menit menit ngeklaim data bawa keliru asih tanding data kemarin tuh bidang doi tahan kayak prepare samsek,0
salam kyai sanjung kyai kyai nu beda kelas gagal urus food estate program andal jokowi sukses jadi jawa lumbung padi nasional mantab pilih asalbukanprabowo,0
bahaya kritik tuduh anti nkri anggap hasut ikra nusa bhakti,0
gagas hadir konkret maju prabowogibranmakinasik,0
menteri atrbpn benar kuasa lahan hektar,0
duet duo bangsa pesan jaga konstitusi atur dasar negara landas bangsajnke,0
['pulau mas jalan brook duluan creek lupa creek pulau bin atur creek inklusif river ekslusif pantai creek maju bay dipulauituskrg'],1
mending lupa sejarah kelam taruh pilih,0
gelar program latih etika pegawai publik meminimalisir risiko korupsiganjarpranowopranowopilihanumat,0
jogetjoget senang pemuda butuh programprogram solusi konkretseperti program,0
pesawat bekas beda pesawat rusak fakta ubah debat debat debat malam debat main strategi negatif sahsah terap debat kait beli pesawat bekas narasi kasihan prajurit seolaholah bahaya prajurit terbang pesawat bekas ingat nama pesawat bekas pesawat rusak bilang kasihan prajurit akalakalan pesawat layak terbang bawa terbang prajurit pesawat layak terbang beli pesawat mobil bekas normal mana beli kendara mobil rusak kendara beli mobil layak kendara apaapa strategi memframing negatif bodoh apa hak sahsah tinggal biar masyarakat nilai layak framing bodoh debat teddy gusnaidi wakil ketua juru bicara partai garuda,0
bukti nyata kerja omon omonhanya kaum dungu benci kerja tim hore buzzer laknat mengogong anjing lapar kenerja negeri,0
komitmen jalan undangundang pesantren,0
renung pikir waras kalah dukung sekarangkarena jokowi disanakalian jokowi turun tahta powerkalian salahberkacalah surabaya,0
kompak alumni universitas gadjah mada deklarasi dukung,0
wakil tkn terima deklarasi dukung gera laut,0
blusukannya sambut antusias ribu dagang masyarakat hadir tuju dengar aspirasi paham butuh masyarakat wujud aksesibilitas pimpin lapis masyarakat pdiperjuangan hutpdiperjuanganke kebenaranpastimenang satyamevajayate menangkanganjar nomorpilihanku,0
['ai oiya se kak tu cek pul'],1
pilih baris sejarah kelam culi aktivis negeri anak muda,0
ratus ribu hektar kuasa tanahdibiarkan rezim jokowi sisi lainjangankan rumah tanah prajurit ngontrak sewaini kedzaliman menhan rezim,0
kampanye dumai petcah peluk tani dumai bicara hati rakyat ubah,0
kampanye kreatif mikat hadir politik inovatif teknologi videotron elemen cgi cipta terobos kampanyekreatif prabowogibranmenang,0
dukung dukung alas khianat alas salah alas warga padang dalam video,0
['ditakedown capital jakarta city bekas dan videotron tv muncul surabaya indonesia medan city gorontalo jaya lawan timor intimidasi deserve better fate videotron website hotlineparisamin'],1
wujud sejahtera adil rata pangandaran p angandaran hebat coblos dulujokowisekarangganjar sertifikattanah untukrakyat,0
alhamdulillah dukung pasang kuat deklarasi dukung ulama nyai santri rawan sumenep cak aminajadulu,0
['pindah yang ikn rezeki anak cucu si mudah tun jakartabandung kabar gabung dan sumpek tun pulau dai jawa dan lihat yang kembang lama ikn semangat lanjut tun bangun terimakasih'],1
bincang kuasa usaha israel itay tagner bahrain juru bicara dahniel anzar ban sila ban the jerusalem post tokoh utama upaya normalisasi hubung israelindonesia,0
sedih menang saah satu damar hutabarat ucok munandar korban hilang paksa aktivis tinggal jasad anak,0
respect tim anggap etis langsung lurus tuh calon langgar etis purapura apaapa selesai bikin negara,0
percaya rakyat kuat menangkanhatirakyat kitaselaluada untukpragibs,0
dengar cerita kayak pahlawan ubah positif misibanggaganjarpranowopilihanumat,0
fakta komunikasi ingat apa usut tuntas rakyat netralitas tni kawal menang menang ganjarmahfudmnang,0
biasa fokus hibur program kerja nyata,0
antri tonton konser guys antri hadir desak yogyakarta bukti anak muda ubah desakanies,0
yes beli alutista bekas ajar teknologi bikin alutista negeri penduking paham konteks sdm kalah negara barat,0
fasih bicara antikorupsi jabat ketua komisi etik kpk sabet harga kpk jabat gubernur wtp kali berturutturut aminmiskinkankoruptor,0
aku tanah ratus ribu hektare hasil jerih payah kasih negara jaman orba keras,0
pasang benerbener visi langkah nyata ngejar tara,0
pilpres deh vu pilpres beda pilpres putar unt menang,0
menang putar emakemak gas keliling jabodetabek koran pagi online koran pagi indonesiakuatindonesiamaju diplomasiprogresif lanjut,0
aja salam jari ekspresi politik dahsyat satutigatambahkita,0
politik dinasti manfaat dukung logistik tempat kaesang ketua psi instan manuver boby nasution pilih dukung,0
apk juru kampanye sosialisasi ubah gerak menang muhaimin iskandar lamongan jatim aminajadulu,0
['tiktok city bilang batavia ken bangun bay kota south jakarta provinsi mat akak'],1
dukung masyarakat jabar kuat jabartetapuntuk berbuatbaik untukmasyarakat,0
lembaga kpk bagus kuat sisi integritas independensi disiplin kode etik jajar kpk pimpin staf komitmen wujud tegak kpk ujung tombak berantas korupsi terimakasih nawawi pomolango jajar pimpin staf kpk gelar acara paku integritas kpk aminajadulu,0
sukses milik sukses jnsk,0
pimpin penuh dedikasi komitmen kodekita pilihprabowogibran dukung,0
saat kerjasama membully bilang etika gila minta maaf saat mengetrol teriak etika kali maaf ucap terima kasih debatcawapres,0
['petra pulau omar jalan petra duluan dan lupa pulau bin atur inklusif cape ekslusif bay pantai mara maju mara dipulauituskrg'],1
['owi orgnya on erti bkl tak panen cuan ni ikn tak tanah adek bilang tanah negara wkwk pilih ang bangun wilayah perata jaya wilayah ka capek ang dukung cuman sa alat air mendingkepaslon'],1
['ja dukung as semangaaat ba bentar puncak sa insya dan allah'],1
edy rahmayadi cocok pimpin,0
analisis tajam rocky gerung kolaborasi aniesganjar hadap curang jokowi pilpres,0
khofifah dukung sekda jatim periksa kpk selamat klub sandera,0
salah wakil ketua dpd golkar provinsi mantab juang menang,0
pakar mikro ekspresi kirdi putra jab kali bubar ekspresi bubar kepala el gemoy el chef emosi absent more,0
fakta alami lapang kenalankenalan temu teman kampus pilih dukung kuta alas putar gimmickgimmick tim paham gagas visimisi capresnya mejudge bagi sahsah hak warga negara pilih alas apa butuh pimpin orangorang gagas hebat gagas detail gagas tumbuh iring kembang zaman butuh angkat pimpin cerdas wawas luas okay umur negeri muda erti meritokrasi,0
pecah kampanye akbar dumai riau puluh ribu masyarakat padat taman bukit gelanggan dumai riau,0
['pindah ikn rezeki e anak de cucu dan mudah jakartabandung kabar gabung sumpek ka pulau eng jawa ang lihat si kembang ikn ik semangat yang lanjut bangun na terimakasih'],1
bowo dukung bilang hasut suka ngehasut masyarakat,0
timnas sorot gaya kampanye bongbong marcos tampil palsu curiga korporasi tiongkok pihak calon dukung perintah,0
rakyat gagas bijak inklusif tangan ketidaksetaraan jnc,0
panik terima papua,0
hapus batas usia lamar kerja adil,0
