text,label
ragu tim bawa arah keren pilihganjarpranowomahfudmd pilpres feb rjnxybr tabrakprof,0
lawan framing jual politik identitas,0
['o musim dan kampanye ti loh ang tan hasil se bahan dan kampanye te disembuny'],1
jadi pimpin republik citacita love you aminajadulu,0
paham butuh generasi muda garda samudra cermin perhati dulujokowisekarangganjar coblos,0
laeku buka data senayan lawan anggota dpr ri rapat buka bahas anggar rahasia negara berita,0
pasang harap benerbener solusi bangsa bro,0
oooh akun dukung nomor narkosun jawa hebat coblos nazarpemilu ganjarmahfudmnangdebat,0
jenderal karbitan orba cawapres karbitan orbong depan penting rakyat andrinof chaniago mentor politik jokowi rakabuming cawapres karbitan dugaankorupsikemenhan dugaankorupsikemenhan,0
bumn salah arah tugas negara bangun cari untung sila rakyat nilai,0
rakyat nomor urut rangkai kampanye kota ruteng manggarai nt jumat datang nt langsung temu uskup ruteng dialog bangsa rombong wita langsung sambut uskup ruteng mgr siprianus hormat sambut prosesi adat manggarai kapu kendi ayam warna putih sambut,0
hamdan zoelva sebut data kuasa ribu hektare lahan kutip nyata jokowi data ban newsupdate update news text,0
isu palestina pihak peduli tegak konstitusi watak asli,0
['variety program ko buka si lahan tani sistem festival program proyek ni jangka si anggar dana marina tahap kocor project proyek dana food at estate dana sekalig'],1
ide potong subsidi gas bbm mulyanto poskota menangseputaran,0
jogetjoget seru hadir programprogram bangun pemudaseperti program,0
langkah warga jabar yakin pimpin bawa ubah positif jabartetapuntuk berbuatbaik untukmasyarakat,0
['bus titik air bersih airways resmi air sukabumi desa airways karanganyar bin dusun lembur jam cimala buses camat bus jampang bus kulon air kakak indonesiasentris i indonesiahijau lanjut anakmudaindonesiaemas'],1
keluarga nu solid menang pasang muhaimin iskandar insyaallah menang putar,0
park ahn nice booming live tiktok live tiktok bentuk kampanye manfaat obrol santai bobot pimpin rangkul rakyat parkahnnice aniesbubble,0
bersamasama jadi jakarta hi dup hebat coblos dulujokowisekarangganjar sertifikattanah untukrakyat,0
['acara da masak an calon na nomor urut da habis pa interaksi on warga ja indonesiasentris ka indonesiahijau o lanjut ta anakmudaindonesiaemas'],1
bocor alus petinggi partai tawar dana kampanye triliun syarat jatah kabinet tolak mentahmentah mau kabinet dasar meritokrasi bagibagi jabat alhasil kampanye low budget,0
banggabanggain nik,1
jokowi kampanye omong kayak samping paslon berkomeptisi asn foto pakai pose jari pimpin tinggi berstatmen etik,0
pasang paten guys kumpul nelayan indramayu deklarasi dukung muhaimin aminajadulu,0
wawas prestasi nyata pilih pimpin dasar hasil kerja jnkbarengganjar,0
serta debat menang pilpres rival nilai debat isi edukasi masyarakat kecewa harap debat nikmat didik politik suguh tonton jatuh,0
harap semangat masyarakat papua lihat betapa rakyat sorong papua sambut datang malam senin januari,0
parah lo mbak bukti n ngolok kuat militer mentang demokrat dukung garis kuasa,0
ipb sinergi kontrak buka bikin harap pangan berkualitasjnk,0
blunder melulu nih mbah,1
kelompok anak muda apatis melek politik putus dukung iur sewa videotron videotron ditakedown bersebrangan kuasa terima kasih jokowi ajar lawan,0
gerombol minoritas dukung minoritas radikal liberal radikal konservatif maksud milik golong tanya golong jaga toleransi laku jawab simpel musuh oligarki,0
wujud program didik kunci bangun bangsa tangguh mandatganjarmahfud,0
edar video warga tionghoa lambe waras terima maayarakat tionghoa lambe waras bukti segenap bangsa,0
hebat coblos ganjarsandiseliwerun semangat juang dukung apa maju bangsa hebat coblos,0
elektabilitas dekat teliti brin efek diversifikasi dukung temponasional,0
bawa puncak jaya kodekita pilihprabowogibran sukses,0
calon nomor urut jadi kawasan timur titik kembang olahraga pilih pimpin bangsa milu sahabatganjar ganjarpranowo ganjarpresiden ganjaruntuksemua satset,0
cak duren benerbener gagal paham alusista tahan negara nazarpemilu aminajadulu malming cak mulutmanisanies,0
bangga dialog langsung warga ambon hadir acara desak sempat visi misi bangun kota ambon kelak rasa sejahtera tara jabat publik emban percaya undang rakyat komitmen usaha tepat janji politik tuju undang gagas langsung aminajadulu desakanies ambon,0
['yang hutan babat habitat orangutan pang rusak kayu yang hilang pang uang rakyat triliun buang sia food estate inc psn gagal thai nyata kelen hang tutup mai mata malaysia bukti malay ketidakbecusan jokowi kelola negara lawan'],1
['ang aku kay kantong da potensi lang kaya alam yang ikan malu'],1
debat uji layak isi kepala masingmasing data langsung elak ajak ketemu selamat debat malam real madrid serang tipistipis goal,0
