text,label,,,,kata,frekuensi
Kunjungan Prabowo ini untuk meresmikan dan menyerahkan proyek bantuan air bersih di lima titik IndonesiaSentris IndonesiaHijau Melanjutkan AnakMudaIndonesiaEmas Prabowo Subianto,Sumber Daya Alam,,,,Anies,2692
Anies dapat tepuk tangan meriah saat jadi Rektor mewajibkan mata kuliah antikorupsi untuk memutus mata rantai korupsi AminMiskinkanKoruptor  ,Politik,,,,Ganjar,4833
 emng bener sih pendukung  ada yg goblok begitu jg dg pendukung  hnya sj menurut pak Ridwan Kamil skemanya terbalik klo  MAYORITAS PENDIDIKAN MENENGAH ATAS artinya ada jg pendidikan rendah yg milih,Demografi,,,,Prabowo,2319
Sewaktu anies bersikap kritis ke kinerja pak prabowo dianggap engga sopan karena dianggap kurang menghormati orang tua giliran skrg gibran yg tengil dan sok kritis malah dianggap kritis dan keras Apakah ini tidak standar ganda  ,Politik,,,,gibran,705
Anies Baswedan Harap ASN termasuk TNI dan Polri Pegang Sumpahnya dalam Pemilu ,Politik,,,,mahfud,2658
Duh jangan sampai Pak lurah denger nih  Di Acara Hajatan Rakyat Puluhan Ribu Warga di Kendal Serukan  Presiden Kehadiran  menjadi magnet bagi puluhan ribu warga untuk datang menghadiri Hajatan Rakyat GanjarMahfud Besarnya antusiasme warga menjadi bukti bahwa Jawa Tengah tetap menjadi kandang banteng GanjarMahfud TabrakProfMahfud ,Politik,,,,muhaimin,174
Prabowo minta Kemenhan dan Tim Satgas Air Unhan kaji bantuan air di Sukabumi dekade Prabowo  Gibran,Pertahanan dan Keamanan,,,,imin,318
Anies Ya Allah Sibukkanlah Orang Zalim Agar Dapat Kejahatan dari Orang Zalim Lainnya  ,Politik,,,,pak,1740
Abah  itu bapa kami bapa yg berikan perhatian untuk pendidikan anak anak Papua jadi pintar pintar Gerakan Indonesia mengajar tak bisa di lupakan sama warga Papua Kami ingin bapa Anies jadi Presiden  ,Politik,,,,ibu,303
Bawaslu dimaki JANCUK sama warga gara mencopot spanduk Ganjar Mahfud sementara spanduk Capres lain tidak dicopot Bawaslu rasa tim sukses  AsalBukanPrabowo OrdeBaruReborn  ,Politik,,,,saya,411
Beberapa isu basi terkait    dan fakta sebenarnya bisa dilihat di  Beberapa diantaranya  Anies akan mengganti Pancasila dengan sistem Khilafah   Terkait toleransi berbagai penganut agama blunder soal data rumah ibadah di Jakarta   Anies mengkhianati Prabowo untuk jadi Capres  Saat kebenaran dan fakta atas suatu hal telah jelas tapi tetap disangkal karena niat jahat nafsu atau kepentingan pribadi bahwa seringkali yang buta itu bukan mata tapi hati yang buta ,Ideologi,,,,dia,804
Ganjar PranowoMahfud MD menekankan pentingnya persiapan dalam kebutuhan dasar alutsista dari tiga matra yaitu darat laut dan udaraGanjar Mahfud Mnang GanjarMahfudRebound GanjarPranowoPilihanUmat JNK TemanAlamGanjar AtikohIbuNegara Apri  ,Pertahanan dan Keamanan,,,,kamu,29
Calon presiden capres nomor urut  Anies Baswedan  sudah siap dengan kemampuannya menghadapi debat ketiga Debat ketiga akan menyangkut tema soal pertahanan keamanan hubungan internasional dan geopolitik Download metrotvxtend di app store  play store aniesbaswedan pemilu debatcapres ,Pertahanan dan Keamanan,,,,lu,2517
Capres Ganjar Pranowo punya rencana besar Dia bakal bersinergi sama perguruan tinggi buat program yang membawa perubahan positif GanjarMahfudRebound GanjarPranowoPilihanUmat JNK ,Politik,,,,lo,1797
    Dengan pendapatan APBD jumbo paling besar seIndonesia mencapai Rp ,Ekonomi,,,,gue,82
 Kenyataan yg timbul menghancurkan pribadi yg isinya penuh kebencian ke AyahBOWO AdalahKITA menimbulkan dampak emosional di pemilih MunculFenomenaPAKbowo DukunganTulus Untuk ,Politik,,,,gw,93
Mas Ganjar bawa data dan ngasih pertanyaan berdasar data Bisa saja dijawab oleh Pak Prabowo tanpa bilang data dari Mas Ganjar salah Tapi karena Pak Prabowo bilang datanya salah wajar jika Mas Ganjar minta ditunjukkan mana data yang benar Gak ada urusan sama waktu yang singkat ,Politik,,,,anis,64
Trending On Twitter  X Anies Bubble meroket  Fenomena Fans Kpop join AMIN ISME  ,Sosial Budaya,,,,presiden,637
Wait wait pak Ada bukti pak anies gunakan politik identitas  Bukankah justru ahok yang terang terangan Bahkan sebelum pilkada saja sudah memantik perselisihan misal gunakan password wifi dengan kata kafir Berpikir adil itu memang sulit pak  ,Politik,,,,ganjarmahfud,1563
Siti Atikoh mengunjungi kantor TPD GanjarMahfud Sumatera Selatan Atikoh mendapat kejutan dari penyandang tuna rungu simpatisan GanjarMahfud di Hari Tuna Rungu Nasional  Atikoh diberikan kejutan berupa kaos warna merah bertuliskan Ibu Negara Indonesia di bagian depan Tak hanya diberikan kejutan Atikoh juga diajarkan Bahasa Isyarat PDIPerjuangan HUTPDIPerjuanganKe KebenaranPastiMenang SatyamEvaJayate GanjarMahfud MEnangkanGAnjar NomorPilihanku ,Politik,,,,prabowogibran,338
Abah Anies ingin mengangkat martabat petani agar tidak terus menerus menerima bansos karena penghasilannya cukup AMINAjaDulu  ,Sosial Budaya,,,,,
Calon Presiden RI Ganjar Pranowo yakin bersama Mahfud MD regulasi hukum investasi bakal lebih mudah dipahami oleh semua pihakGanjarMahfudRebound GanjarPranowoPilihanUmat JNK ,Politik,,,,indonesia,1273
Pak Michael Gaya bicara keras dan terkesan emosional tapi tetap berisi  Tidak Usah jangan Berarti Prabowo itu sudah menggunakan kekerasan militer untuk orang yang sifatnya  Anies Pak Lurah Bu Hesti Anies Deserve Better Asnawi Videotron Pegang Miftah Papua Amien Rais  ,Politik,,,,aniesmuhaimin,106
Paslon  Ganjar Pranowo yakin bersama Mahfud MD regulasi hukum investor di Indonesia bakal lebih bersahabat dan terukurGanjarMahfudRebound GanjarPranowoPilihanUmat JNK ,Politik,,,,stunting,18
ANIES SOSOK AYAH YANG PENUH KEHANGATAN         Pak  mmg sosok Ayah yg Penuh Kehangatan Lihat dlm tayangan video ini tangannya lentur banget menggendong anak kecil Tampak Luwes ngga kaku dan ngga buatbuat Pasti anakanaknya jg sering merasakan gendongan pelukan dan pelukan beliau  Kekuatan sejati adalah ketenangan di pelukan Ayah  aniesbubble AniesMuhaimin ,Pertahanan dan Keamanan,,,,bansos,96
Capres Ganjar Pranowo nggak mainmain nih Kolaborasi dengan perguruan tinggi buat program edukatif yang oke punya GanjarMahfudRebound GanjarPranowoPilihanUmat JNK ,Politik,,,,pendidikan,141
Projo Kawal Prabowo Gibran Menang Sekali Putaran  projo jokowi setiadigarisrakyat  ,Politik,,,,investor,57
tempodotco semangat pak   kami akan selalu mnddukung mu Ganjar Mahfud Hebat Coblos GM GanjarMahfudMnangDebat DebatCapres ,Politik,,,,desakanies,50
Anies sesuai selera masyarakat Sumatera Barat  ,Sosial Budaya,,,,,
Abah Anies Baswedan amp ibu Fery Farhati tiba di Pekanbaru Kampanye Akbar kedua hari ini   ,Politik,,,,desak,238
Atikoh Beberkan Solusi GanjarMahfud Atasi Harga Pangan Naik ,Politik,,,,abah,186
Giliran Buruh Soloraya Deklarasi Dukung PrabowoGibran  Soloraya   IndonesiaKuatIndonesiaMaju DiplomasiProgresif Melanjutkan ,Politik,,,,gemoy,59
Capres Cawapres Ganjar Pranowo dan Mahfud MD mengajak semua pihak untuk bersatu menjaga Konstitusi atau aturan dasar negaraJNK GanjarMahfudRebound GanjarPranowoPilihanUmat ,Ideologi,,,,,
Raja dangdut Pak Haji Rhoma irama Bertanya Tentang seni dan Film Jika Pak Anies Terpilih jadi Presiden Desak ANIES amp Slepet Imin di JIEXPO Kemayoran Jakarta pusat Hari ini Senin  Januari   ,Politik,,,,gaza,67
Capres Ganjar Pranowo akan memberikan ruang bagi masyarakat untuk memberikan masukan dan saran dalam evaluasi pasal karet UU ITEJNK GanjarMahfudRebound GanjarPranowoPilihanUmat ,Politik,,,,gen z,25
Ini musuh utama gen z Anies bertekad basmi praktik ordal dalam penerimaan tenaga kerja di sektor swasta amp pemerintahan dg penegakan aturan AMINAjaDulu  ,Politik,,,,serangan,94
Debat CapresCawapres ke Anies menyatakan nilai Kemenhan dalam melaksanakan kebijakan nilainya  dari  Jadi Menteri saja tidak layak menurut Paslon ,Politik,,,,nasional,195
